client_id,age,genre,anciennete_mois,facture_mensuelle,facture_totale,type_contrat,service_internet,moyen_paiement,tickets_support,region,offre_promo,senior,facture_electronique,dernier_contact_jours,churn
C101296,34.0,Femme,56,58.09,3392.95,Annuel,Aucun,Carte bancaire,0,Provence-Alpes-Côte d'Azur,0,0,0,20,Non
C100486,39.0,Femme,69,62.21,4416.76,Annuel,Fibre,Carte bancaire,0,Île-de-France,0,0,1,37,Non
C100598,58.0,Homme,29,86.03,2616.15,Annuel,Aucun,Carte bancaire,1,Nouvelle-Aquitaine,0,0,0,27,Non
C100430,23.0,Autre,11,80.15,857.26,Mensuel,Fibre,Prélèvement,0,Île-de-France,0,0,1,19,Oui
C101346,72.0,Femme,12,74.93,,Mensuel,Aucun,Prélèvement,2,Occitanie,0,1,1,20,Non
C100945,25.0,Femme,55,59.19,3001.42,Annuel,Aucun,Chèque électronique,1,Grand Est,0,0,1,20,Non
C101202,81.0,Homme,49,63.18,2929.92,Biennal,Fibre,Carte bancaire,1,Île-de-France,0,1,0,71,Non
C100078,54.0,Homme,53,116.0,6598.95,Mensuel,Fibre,Chèque électronique,0,Occitanie,0,0,1,5,Non
C100665,62.0,Homme,43,26.83,1107.0,Annuel,Fibre,Prélèvement,3,Occitanie,0,0,1,30,Oui
C100660,29.0,Homme,5,104.01,536.68,Mensuel,DSL,Prélèvement,1,Île-de-France,0,0,0,95,Non
C100560,52.0,Femme,70,546.19,6306.41,Mensuel,DSL,Chèque électronique,1,Auvergne-Rhône-Alpes,0,0,1,4,Non
C100237,45.0,Femme,69,74.35,4867.56,Mensuel,Fibre,Carte bancaire,2,Provence-Alpes-Côte d'Azur,1,0,1,10,Non
C100029,46.0,Homme,2,84.52,161.61,Annuel,Fibre,Prélèvement,1,Hauts-de-France,0,0,0,23,Non
C101263,70.0,Femme,22,65.19,1454.11,Annuel,DSL,Prélèvement,0,Provence-Alpes-Côte d'Azur,1,1,1,84,Non
C101055,81.0,Homme,25,85.04,1905.12,Mensuel,Aucun,Chèque électronique,2,Auvergne-Rhône-Alpes,0,1,1,56,Oui
C101049,25.0,Femme,42,43.28,1744.41,Mensuel,Aucun,Chèque électronique,0,Auvergne-Rhône-Alpes,1,0,0,29,Non
C100316,64.0,Homme,26,66.43,1779.5,Mensuel,Fibre,Prélèvement,1,Auvergne-Rhône-Alpes,1,0,0,8,Non
C101245,81.0,Homme,26,46.1,1066.93,Mensuel,Fibre,Carte bancaire,0,Hauts-de-France,1,1,1,24,Non
C100367,38.0,Homme,51,18.5,857.1,Mensuel,Fibre,Virement,0,Occitanie,0,0,1,95,Non
C100049,67.0,Homme,28,107.92,3126.35,Mensuel,Aucun,Virement,2,Île-de-France,0,1,0,5,Non
C101246,,Femme,49,40.24,1898.79,Mensuel,Aucun,Virement,2,Île-de-France,0,1,0,58,Oui
C100887,30.0,Homme,18,62.71,1094.02,Biennal,Fibre,Prélèvement,2,Provence-Alpes-Côte d'Azur,0,0,1,34,Non
C100494,36.0,Homme,51,112.66,5428.39,Mensuel,Fibre,Carte bancaire,2,Grand Est,0,0,0,44,Non
C101177,30.0,Femme,19,68.55,1332.41,Mensuel,DSL,Virement,3,Nouvelle-Aquitaine,0,0,1,70,Oui
C100816,20.0,Femme,5,75.89,384.38,Mensuel,DSL,Prélèvement,3,Nouvelle-Aquitaine,0,0,0,17,Non
C100983,59.0,Femme,65,76.84,4448.17,Mensuel,DSL,Virement,0,Grand Est,1,0,0,34,Non
C100350,52.0,Homme,4,80.28,305.4,Mensuel,Fibre,Chèque électronique,0,Île-de-France,0,0,1,10,Oui
C100076,39.0,Homme,5,66.18,318.13,Mensuel,Fibre,Prélèvement,0,Auvergne-Rhône-Alpes,1,0,0,24,Non
C100823,59.0,Homme,31,109.61,3545.01,Biennal,DSL,Carte bancaire,2,Île-de-France,0,0,1,11,Oui
C100998,79.0,Homme,41,86.84,3633.64,Mensuel,DSL,Chèque électronique,0,Provence-Alpes-Côte d'Azur,0,1,1,1,Oui
C100787,61.0,Femme,67,93.94,6425.11,Mensuel,Fibre,Prélèvement,1,Provence-Alpes-Côte d'Azur,1,0,1,4,Non
C100778,35.0,Femme,67,44.11,2620.47,Annuel,Aucun,Carte bancaire,0,Grand Est,0,0,1,16,Non
C100861,77.0,Homme,45,74.71,3295.45,Biennal,Fibre,Carte bancaire,0,Auvergne-Rhône-Alpes,0,1,1,18,Non
C100630,65.0,Homme,26,95.96,2369.9,Annuel,DSL,Prélèvement,0,Provence-Alpes-Côte d'Azur,0,1,0,4,Oui
C100044,22.0,Homme,26,24.85,624.1,Mensuel,DSL,Carte bancaire,0,Île-de-France,0,0,1,11,Non
C101103,27.0,Homme,31,103.06,3250.47,Mensuel,Fibre,Carte bancaire,1,Hauts-de-France,0,0,1,45,Oui
C101073,51.0,Homme,34,86.2,3019.19,Mensuel,Aucun,Carte bancaire,2,Provence-Alpes-Côte d'Azur,0,0,1,22,Non
C101101,48.0,Homme,72,33.21,2307.5,Annuel,DSL,Prélèvement,1,Provence-Alpes-Côte d'Azur,0,0,0,21,Non
C100461,26.0,Homme,42,72.82,2704.77,Annuel,Aucun,Virement,0,Nouvelle-Aquitaine,0,0,1,19,Non
C100239,58.0,Femme,23,80.06,1770.81,Annuel,Fibre,Carte bancaire,1,Grand Est,0,0,0,10,Non
C100247,44.0,Homme,14,61.24,781.44,Annuel,DSL,Carte bancaire,0,Occitanie,0,0,1,21,Non
C100651,59.0,Homme,53,55.77,3045.62,Mensuel,DSL,Prélèvement,1,Hauts-de-France,0,0,1,49,Non
C100558,68.0,Homme,33,70.49,2054.63,Annuel,Fibre,Prélèvement,0,Provence-Alpes-Côte d'Azur,0,1,1,10,Oui
C100847,21.0,Homme,46,122.56,6026.99,Mensuel,Aucun,Chèque électronique,0,Nouvelle-Aquitaine,0,0,0,29,Non
C100303,75.0,Femme,56,84.38,5076.77,Annuel,DSL,Prélèvement,1,Occitanie,1,1,0,13,Non
C100198,39.0,Femme,6,76.89,407.76,Biennal,Fibre,Virement,1,Grand Est,1,0,1,42,Non
C101392,80.0,Homme,39,67.7,2603.22,Mensuel,DSL,Prélèvement,2,Grand Est,0,1,0,71,Non
C100413,26.0,Homme,38,57.86,2006.81,Annuel,DSL,Virement,2,Grand Est,0,0,1,28,Non
C100829,19.0,Femme,17,623.89,1282.65,Mensuel,Fibre,Carte bancaire,0,Grand Est,1,0,1,43,Non
C100365,51.0,Autre,25,45.28,1148.27,Annuel,DSL,Carte bancaire,2,Grand Est,0,0,1,3,Non
C100233,66.0,Homme,9,100.05,868.01,Mensuel,Fibre,Prélèvement,2,Occitanie,0,1,0,64,Oui
C100915,47.0,Femme,19,35.21,652.33,Biennal,Aucun,Chèque électronique,1,Auvergne-Rhône-Alpes,0,0,1,12,Non
C100605,52.0,Homme,55,76.12,3911.67,Annuel,DSL,Virement,2,Auvergne-Rhône-Alpes,0,0,1,7,Oui
C100549,61.0,Homme,27,25.69,639.28,Mensuel,Fibre,Virement,2,Occitanie,0,0,1,13,Oui
C100820,19.0,Femme,64,70.08,3968.04,Annuel,Aucun,Virement,0,Auvergne-Rhône-Alpes,0,0,1,57,Non
C100275,48.0,Homme,24,86.3,2055.49,Biennal,DSL,Carte bancaire,1,Auvergne-Rhône-Alpes,0,0,1,11,Non
C100259,55.0,Homme,48,52.78,,Mensuel,Aucun,Prélèvement,1,Occitanie,0,0,0,20,Non
C100043,40.0,Femme,3,68.35,212.0,Mensuel,DSL,Carte bancaire,0,Auvergne-Rhône-Alpes,1,0,1,69,Oui
C101330,46.0,Femme,43,24.17,1056.05,Annuel,Fibre,Prélèvement,1,Nouvelle-Aquitaine,0,0,0,19,Non
C100933,59.0,Homme,3,41.19,132.98,Annuel,DSL,Chèque électronique,0,Hauts-de-France,0,0,0,24,Non
C101366,37.0,Homme,16,79.19,1122.41,Mensuel,DSL,Prélèvement,0,Nouvelle-Aquitaine,1,0,0,54,Non
C100339,78.0,Femme,63,63.8,3775.34,Mensuel,Fibre,Carte bancaire,1,Grand Est,0,1,1,15,Non
C100371,60.0,Homme,7,28.05,174.82,Annuel,Aucun,Virement,1,Nouvelle-Aquitaine,1,0,1,31,Non
C100634,29.0,Homme,71,52.32,3381.34,Mensuel,Fibre,Chèque électronique,1,Occitanie,0,0,1,19,Oui
C100669,26.0,Femme,51,18.5,933.25,Biennal,DSL,Carte bancaire,3,Occitanie,1,0,1,45,Oui
C100428,19.0,Homme,55,84.13,,Annuel,Fibre,Carte bancaire,0,Provence-Alpes-Côte d'Azur,1,0,0,30,Non
C100481,71.0,Femme,13,157.83,1930.95,Mensuel,Fibre,Carte bancaire,1,Île-de-France,0,1,1,8,Oui
C101001,65.0,Autre,30,108.8,3235.66,Mensuel,Fibre,Carte bancaire,0,Occitanie,0,1,0,15,Non
C100756,65.0,Femme,12,68.67,838.22,Mensuel,Aucun,Carte bancaire,0,Nouvelle-Aquitaine,0,1,0,49,Non
C100101,30.0,Femme,48,73.49,3577.24,Biennal,DSL,Virement,0,Nouvelle-Aquitaine,0,0,1,21,Non
C100322,57.0,Autre,39,99.55,,Mensuel,DSL,Carte bancaire,1,Auvergne-Rhône-Alpes,0,0,0,14,Non
C100065,38.0,Femme,72,72.66,4854.79,Mensuel,DSL,Carte bancaire,2,Occitanie,0,0,1,11,Non
C100351,20.0,Femme,3,77.57,243.66,Annuel,DSL,Chèque électronique,2,Occitanie,0,0,0,20,Non
C101211,68.0,Femme,34,117.64,3958.93,Mensuel,DSL,Carte bancaire,4,Occitanie,1,1,1,3,Non
C100115,54.0,Homme,20,38.46,801.39,Mensuel,DSL,Carte bancaire,0,Provence-Alpes-Côte d'Azur,1,0,0,8,Non
C100464,18.0,Femme,23,61.16,1239.73,Mensuel,DSL,Prélèvement,0,Occitanie,1,0,1,28,Non
C101119,49.0,Homme,17,75.99,1293.54,Mensuel,Fibre,Carte bancaire,0,Provence-Alpes-Côte d'Azur,1,0,0,19,Non
C100361,75.0,Homme,31,52.92,1663.58,Biennal,Fibre,Carte bancaire,0,Occitanie,0,1,1,7,Non
C101032,64.0,Homme,22,103.03,2067.21,Mensuel,Fibre,Carte bancaire,4,Île-de-France,0,0,1,27,Oui
C101078,44.0,Femme,28,67.15,1937.48,Mensuel,Fibre,Virement,0,Nouvelle-Aquitaine,1,0,1,15,Non
C101157,72.0,Femme,54,64.8,3490.4,Biennal,Fibre,Chèque électronique,3,Hauts-de-France,0,1,0,28,Non
C100032,23.0,Femme,44,54.2,2432.96,Mensuel,DSL,Carte bancaire,1,Provence-Alpes-Côte d'Azur,1,0,1,9,Non
C100591,75.0,Homme,72,98.83,6959.36,Annuel,Fibre,Carte bancaire,0,Île-de-France,0,1,1,11,Non
C100358,23.0,Homme,55,95.03,4840.73,Biennal,Fibre,Carte bancaire,2,Occitanie,0,0,1,16,Non
C100168,39.0,Femme,67,80.49,5476.47,Annuel,Fibre,Prélèvement,0,Île-de-France,0,0,1,13,Non
C100220,26.0,Femme,52,84.82,4595.04,Mensuel,Fibre,Prélèvement,2,Provence-Alpes-Côte d'Azur,0,0,0,22,Non
C100342,57.0,Homme,67,120.98,7240.0,Biennal,Aucun,Prélèvement,4,Auvergne-Rhône-Alpes,0,0,0,19,Non
C100346,81.0,Femme,43,89.59,3626.25,Annuel,Aucun,Carte bancaire,1,Occitanie,0,1,0,2,Non
C100218,46.0,Femme,52,110.91,5522.36,Mensuel,Fibre,Prélèvement,1,Hauts-de-France,0,0,1,24,Oui
C100415,61.0,Femme,32,66.32,1900.22,Annuel,Fibre,Prélèvement,2,Île-de-France,0,0,1,32,Oui
C100184,49.0,Femme,28,89.76,2483.4,Mensuel,Aucun,Carte bancaire,2,Provence-Alpes-Côte d'Azur,0,0,1,31,Oui
C101376,79.0,Autre,42,58.82,2551.13,Annuel,Aucun,,0,Hauts-de-France,0,1,0,33,Non
C100793,70.0,Homme,40,81.36,2956.33,Mensuel,Fibre,Virement,1,Grand Est,0,1,0,33,Oui
C100679,77.0,Femme,55,49.03,,Annuel,Fibre,Prélèvement,1,Hauts-de-France,0,1,1,9,Non
C101067,59.0,Femme,46,107.51,5248.38,Mensuel,Aucun,Carte bancaire,2,Nouvelle-Aquitaine,1,0,0,20,Non
C100994,51.0,Homme,27,60.27,1464.65,Annuel,Aucun,Carte bancaire,2,Nouvelle-Aquitaine,0,0,1,13,Non
C100566,32.0,Femme,42,59.55,2215.94,Annuel,DSL,Virement,0,Île-de-France,1,0,1,12,Non
C100869,20.0,Homme,69,29.86,1852.51,Annuel,DSL,Chèque électronique,1,Occitanie,1,0,0,46,Non
C101133,66.0,Femme,65,59.44,3791.24,Mensuel,Fibre,Prélèvement,0,Auvergne-Rhône-Alpes,0,1,1,26,Non
C101363,30.0,Femme,8,73.76,,Mensuel,Fibre,Virement,1,Auvergne-Rhône-Alpes,1,0,0,13,Non
C101179,19.0,Homme,37,70.69,2817.96,Annuel,Aucun,Chèque électronique,2,Occitanie,1,0,0,26,Non
C100629,41.0,Femme,36,44.4,1661.16,Annuel,Aucun,Prélèvement,1,Nouvelle-Aquitaine,1,0,0,27,Non
C100265,55.0,Femme,7,69.19,493.24,Mensuel,Fibre,Prélèvement,3,Île-de-France,0,0,1,45,Oui
C100636,33.0,Femme,10,76.61,,Mensuel,Fibre,Chèque électronique,2,Occitanie,0,0,1,106,Oui
C100619,26.0,Homme,68,87.92,6017.26,Biennal,DSL,Chèque électronique,1,Île-de-France,0,0,0,80,Non
C101358,24.0,Femme,38,18.5,688.88,Mensuel,DSL,Prélèvement,1,Île-de-France,0,0,1,35,Oui
C100618,21.0,Homme,39,89.77,,Mensuel,DSL,Prélèvement,0,Provence-Alpes-Côte d'Azur,0,0,0,37,Non
C100944,26.0,Femme,47,39.94,1791.03,Mensuel,Fibre,Prélèvement,0,Grand Est,0,0,1,54,Non
C100063,79.0,Femme,55,85.08,4673.45,Mensuel,Aucun,Prélèvement,1,Nouvelle-Aquitaine,0,1,0,29,Non
C100254,60.0,Homme,45,68.47,3225.15,Annuel,DSL,Chèque électronique,1,Hauts-de-France,0,0,1,1,Non
C101033,38.0,Femme,15,108.57,1656.65,Mensuel,Fibre,Carte bancaire,4,Auvergne-Rhône-Alpes,1,0,1,31,Non
C101102,76.0,Femme,13,48.25,553.36,Annuel,DSL,Carte bancaire,0,Nouvelle-Aquitaine,1,1,0,49,Non
C100240,26.0,Femme,24,72.67,1578.86,Mensuel,Fibre,Chèque électronique,1,Hauts-de-France,0,0,0,39,Oui
C101005,76.0,Autre,33,39.9,1346.15,Mensuel,Fibre,Prélèvement,3,Occitanie,1,1,0,41,Non
C100163,44.0,Homme,70,110.54,7816.14,Annuel,Aucun,Carte bancaire,2,Auvergne-Rhône-Alpes,0,0,1,11,Non
C100706,18.0,Homme,21,115.91,2498.61,Mensuel,Aucun,Chèque électronique,0,Île-de-France,1,0,1,45,Oui
C100030,46.0,Femme,6,88.25,516.72,Mensuel,Aucun,Virement,2,Occitanie,0,0,1,28,Non
C100244,58.0,Femme,54,78.72,4097.04,Annuel,Fibre,Prélèvement,1,Grand Est,1,0,1,41,Non
C101141,39.0,Homme,45,50.4,2211.15,Mensuel,Fibre,Chèque électronique,2,Nouvelle-Aquitaine,0,0,1,46,Oui
C100543,29.0,Femme,24,87.73,2233.29,Mensuel,Fibre,Chèque électronique,2,Occitanie,0,0,1,13,Oui
C101208,36.0,Homme,41,64.15,2837.22,Mensuel,Fibre,Virement,1,Grand Est,1,0,0,11,Non
C100582,,Femme,25,47.49,1261.79,Biennal,Aucun,Chèque électronique,0,Auvergne-Rhône-Alpes,0,0,1,6,Non
C101373,44.0,Homme,50,45.87,2361.39,Mensuel,Aucun,Chèque électronique,3,Nouvelle-Aquitaine,0,0,1,18,Non
C101265,,Femme,40,29.64,1117.97,Annuel,Aucun,,0,Hauts-de-France,0,0,1,81,Non
C100809,81.0,Homme,20,114.07,2172.62,Mensuel,Fibre,Prélèvement,1,Hauts-de-France,0,1,0,19,Oui
C100677,23.0,Homme,32,55.37,1589.2,Biennal,DSL,Chèque électronique,1,Hauts-de-France,0,0,0,8,Non
C100551,43.0,Femme,11,63.37,665.51,Mensuel,DSL,Chèque électronique,3,Provence-Alpes-Côte d'Azur,0,0,1,48,Oui
C100743,35.0,Femme,63,101.97,5843.36,Mensuel,Aucun,Chèque électronique,0,Hauts-de-France,0,0,0,44,Non
C101010,35.0,Homme,8,52.76,382.13,Annuel,Fibre,Chèque électronique,0,Hauts-de-France,0,0,0,15,Non
C100621,48.0,Femme,50,48.8,2603.51,Mensuel,Fibre,Prélèvement,0,Occitanie,1,0,1,41,Non
C100363,75.0,Homme,14,73.84,988.51,Annuel,Aucun,Prélèvement,0,Occitanie,0,1,1,32,Non
C101138,65.0,Homme,29,63.92,1931.63,Mensuel,Aucun,Prélèvement,1,Nouvelle-Aquitaine,0,1,0,35,Non
C101256,32.0,Homme,12,80.88,924.37,Mensuel,Fibre,Virement,2,Auvergne-Rhône-Alpes,0,0,1,22,Oui
C100824,57.0,Homme,63,70.9,4503.05,Annuel,DSL,Prélèvement,1,Hauts-de-France,0,0,1,49,Non
C100552,71.0,Femme,59,65.32,3741.43,Mensuel,Fibre,Carte bancaire,0,Occitanie,0,1,0,13,Non
C100798,38.0,Femme,49,80.01,3631.28,Biennal,Fibre,Carte bancaire,1,Grand Est,1,0,1,16,Non
C101389,76.0,Femme,61,114.16,6962.47,Mensuel,DSL,Prélèvement,0,Hauts-de-France,0,1,0,21,Non
C100890,24.0,Femme,64,100.11,6806.69,Mensuel,Fibre,Prélèvement,0,Occitanie,0,0,0,17,Non
C100203,62.0,Femme,68,78.81,5643.51,Annuel,Fibre,Carte bancaire,1,Nouvelle-Aquitaine,1,0,1,11,Non
C100661,65.0,Femme,60,62.1,3810.28,Annuel,Aucun,Prélèvement,1,Occitanie,1,1,1,8,Oui
C100583,21.0,Homme,55,56.77,2882.53,Mensuel,DSL,Chèque électronique,1,Occitanie,1,0,0,17,Non
C101381,36.0,Femme,61,103.63,6421.41,Mensuel,Fibre,Prélèvement,2,Grand Est,0,0,1,106,Oui
C100923,27.0,Femme,49,28.82,1246.74,Mensuel,DSL,Chèque électronique,2,Grand Est,0,0,1,12,Oui
C100479,24.0,Femme,5,43.12,200.93,Mensuel,Aucun,Carte bancaire,2,Nouvelle-Aquitaine,0,0,1,23,Oui
C100532,27.0,Femme,55,74.3,3847.3,Mensuel,Fibre,Chèque électronique,1,Nouvelle-Aquitaine,0,0,1,21,Non
C101378,50.0,Femme,33,59.62,2080.03,Annuel,Aucun,Prélèvement,0,Occitanie,1,0,1,22,Non
C100422,67.0,Homme,60,91.2,5601.51,Annuel,DSL,Carte bancaire,3,Auvergne-Rhône-Alpes,1,1,0,62,Non
C100650,49.0,Homme,67,54.47,3696.68,Annuel,Fibre,Carte bancaire,2,Provence-Alpes-Côte d'Azur,1,0,1,20,Non
C101192,28.0,Homme,58,123.07,6686.15,Mensuel,Aucun,Chèque électronique,0,Occitanie,0,0,1,24,Oui
C101093,43.0,Homme,53,19.27,1008.82,Mensuel,DSL,Carte bancaire,2,Île-de-France,0,0,1,23,Oui
C100058,65.0,Femme,44,80.75,3832.15,Annuel,Aucun,Prélèvement,1,Provence-Alpes-Côte d'Azur,0,1,1,39,Non
C101140,74.0,Femme,22,85.46,1988.63,Mensuel,Fibre,Prélèvement,3,Occitanie,0,1,0,18,Non
C100271,19.0,Femme,64,99.77,6003.82,Biennal,Fibre,Carte bancaire,2,Auvergne-Rhône-Alpes,0,0,1,20,Non
C101146,52.0,Femme,36,115.14,4462.08,Mensuel,DSL,Prélèvement,0,Occitanie,1,0,0,23,Non
C100023,77.0,Homme,39,18.5,656.92,Biennal,Fibre,Chèque électronique,2,Grand Est,0,1,0,12,Non
C100107,60.0,Femme,58,65.69,3653.61,Mensuel,Fibre,Virement,3,Occitanie,1,0,1,50,Non
C100949,35.0,Homme,40,64.01,2468.86,Mensuel,Fibre,Chèque électronique,1,Nouvelle-Aquitaine,0,0,1,11,Non
C101006,72.0,Femme,51,19.31,894.23,Annuel,Fibre,Prélèvement,2,Grand Est,0,1,0,14,Non
C101200,74.0,Homme,62,64.85,3969.93,Annuel,DSL,Chèque électronique,0,Hauts-de-France,0,1,1,50,Non
C100638,68.0,Homme,62,60.66,3998.32,Mensuel,Fibre,Prélèvement,0,Île-de-France,0,1,0,22,Non
C100982,53.0,Homme,46,90.41,4090.3,Biennal,Fibre,,1,Auvergne-Rhône-Alpes,0,0,0,62,Non
C100462,65.0,Homme,12,82.81,1067.41,Mensuel,Fibre,Chèque électronique,2,Occitanie,1,1,1,29,Non
C101096,71.0,Homme,1,103.32,99.08,Mensuel,Aucun,Carte bancaire,1,Nouvelle-Aquitaine,0,1,1,17,Oui
C101359,41.0,Femme,10,18.5,,Mensuel,Fibre,Virement,0,Occitanie,1,0,1,38,Oui
C101087,81.0,Homme,63,69.81,4148.3,Biennal,DSL,Chèque électronique,0,Provence-Alpes-Côte d'Azur,0,1,0,27,Non
C101166,19.0,Homme,7,70.17,477.88,Mensuel,Fibre,Prélèvement,0,Occitanie,0,0,1,18,Non
C100722,72.0,Femme,40,63.2,2268.09,Mensuel,Fibre,Virement,2,Provence-Alpes-Côte d'Azur,0,1,0,27,Oui
C100885,65.0,Homme,25,51.77,1336.43,Mensuel,Fibre,Prélèvement,0,Hauts-de-France,0,1,0,28,Oui
C101188,54.0,Homme,36,56.71,1979.49,Biennal,Fibre,Chèque électronique,2,Île-de-France,0,0,1,43,Non
C100628,50.0,Femme,67,95.75,6520.67,Biennal,DSL,Chèque électronique,0,Île-de-France,0,0,1,49,Non
C100196,39.0,Femme,22,96.06,1970.81,Annuel,Fibre,Prélèvement,2,Hauts-de-France,0,0,0,7,Oui
C100370,39.0,Homme,50,67.03,3482.21,Biennal,Fibre,Prélèvement,2,Provence-Alpes-Côte d'Azur,0,0,0,10,Non
C100128,54.0,Homme,4,62.73,258.97,Mensuel,Aucun,Virement,0,Grand Est,1,0,0,23,Non
C101186,27.0,Femme,17,79.85,1276.97,Mensuel,Fibre,Carte bancaire,4,Île-de-France,1,0,1,13,Non
C100081,45.0,Homme,65,39.86,2339.38,Mensuel,Fibre,Chèque électronique,0,Île-de-France,0,0,0,14,Non
C101320,25.0,Homme,32,27.27,808.24,Biennal,Fibre,Prélèvement,1,Auvergne-Rhône-Alpes,0,0,1,43,Oui
C100354,80.0,Femme,52,72.09,3322.01,Mensuel,Fibre,Chèque électronique,0,Île-de-France,0,1,1,24,Oui
C101091,46.0,Femme,64,63.36,4121.71,Annuel,Fibre,Prélèvement,1,Provence-Alpes-Côte d'Azur,0,0,0,10,Non
C100208,34.0,Femme,19,21.92,399.53,Mensuel,Aucun,Chèque électronique,0,Auvergne-Rhône-Alpes,0,0,0,26,Oui
C100939,50.0,Homme,72,61.03,4111.45,Mensuel,Aucun,Chèque électronique,1,Provence-Alpes-Côte d'Azur,1,0,1,24,Non
C100111,67.0,Femme,62,96.74,6376.6,Mensuel,DSL,Virement,1,Provence-Alpes-Côte d'Azur,0,1,1,13,Non
C101203,66.0,Femme,39,82.41,3046.05,Mensuel,Fibre,Carte bancaire,1,Île-de-France,0,1,0,42,Non
C100917,68.0,Homme,34,126.08,3975.63,Annuel,DSL,Carte bancaire,0,Occitanie,0,1,1,35,Non
C101063,63.0,Femme,36,59.44,1892.31,Mensuel,Aucun,Virement,4,Grand Est,0,0,0,65,Oui
C100597,67.0,Femme,9,77.91,706.08,Mensuel,DSL,Chèque électronique,0,Île-de-France,0,1,0,13,Oui
C101288,24.0,Autre,62,55.29,3555.74,Mensuel,Fibre,,1,Auvergne-Rhône-Alpes,0,0,1,68,Non
C100855,72.0,Homme,65,53.92,3430.26,Mensuel,Fibre,Carte bancaire,3,Île-de-France,0,1,1,31,Non
C100581,71.0,Femme,43,63.57,2512.55,Biennal,Aucun,Carte bancaire,1,Occitanie,0,1,1,4,Non
C100535,27.0,Femme,31,84.99,2370.4,Mensuel,DSL,Carte bancaire,0,Grand Est,0,0,1,29,Oui
C100175,47.0,Homme,43,116.99,4701.06,Annuel,Fibre,Carte bancaire,5,Hauts-de-France,0,0,1,19,Oui
